"No.","Time","Source","Destination","Protocol","Length","Info"
"209","62.489342","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=69769 Ack=8127 Win=65408 Len=0 TSval=3651898380 TSecr=3651898380"
"210","63.017501","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=69769 Ack=8127 Win=65536 Len=1368 TSval=3651898908 TSecr=3651898380"
"213","63.582328","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=71137 Ack=8286 Win=65408 Len=0 TSval=3651899473 TSecr=3651899473"
"214","64.127458","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=71137 Ack=8286 Win=65536 Len=1368 TSval=3651900018 TSecr=3651899473"
"217","64.712880","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=72505 Ack=8445 Win=65408 Len=0 TSval=3651900603 TSecr=3651900603"
"218","65.263568","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=72505 Ack=8445 Win=65536 Len=1368 TSval=3651901154 TSecr=3651900603"
"221","65.868260","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=73873 Ack=8604 Win=65408 Len=0 TSval=3651901759 TSecr=3651901759"
"222","66.464639","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=73873 Ack=8604 Win=65536 Len=1368 TSval=3651902355 TSecr=3651901759"
"225","67.176333","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=75241 Ack=8763 Win=65408 Len=0 TSval=3651903067 TSecr=3651903067"
"226","67.760661","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=75241 Ack=8763 Win=65536 Len=1368 TSval=3651903651 TSecr=3651903067"
"229","68.342003","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=76609 Ack=8922 Win=65408 Len=0 TSval=3651904232 TSecr=3651904232"
"230","68.882877","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=76609 Ack=8922 Win=65536 Len=1368 TSval=3651904773 TSecr=3651904232"
"233","69.461821","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=77977 Ack=9081 Win=65408 Len=0 TSval=3651905352 TSecr=3651905352"
"234","70.165171","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=77977 Ack=9081 Win=65536 Len=1368 TSval=3651906055 TSecr=3651905352"
"237","70.821123","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=79345 Ack=9240 Win=65408 Len=0 TSval=3651906711 TSecr=3651906711"
"238","71.661978","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=79345 Ack=9240 Win=65536 Len=1368 TSval=3651907552 TSecr=3651906711"
"241","72.244190","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=80713 Ack=9399 Win=65408 Len=0 TSval=3651908135 TSecr=3651908134"
"242","72.792934","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=80713 Ack=9399 Win=65536 Len=1368 TSval=3651908683 TSecr=3651908134"
"245","73.653943","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=82081 Ack=9558 Win=65408 Len=0 TSval=3651909544 TSecr=3651909544"
"246","74.199032","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=82081 Ack=9558 Win=65536 Len=1368 TSval=3651910089 TSecr=3651909544"
"249","74.777342","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=83449 Ack=9717 Win=65408 Len=0 TSval=3651910668 TSecr=3651910668"
"250","75.301348","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=83449 Ack=9717 Win=65536 Len=1368 TSval=3651911192 TSecr=3651910668"
"253","75.909726","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=84817 Ack=9876 Win=65408 Len=0 TSval=3651911800 TSecr=3651911800"
"254","76.433041","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=84817 Ack=9876 Win=65536 Len=1368 TSval=3651912323 TSecr=3651911800"
"257","77.018686","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=86185 Ack=10035 Win=65408 Len=0 TSval=3651912909 TSecr=3651912909"
"258","77.547085","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=86185 Ack=10035 Win=65536 Len=1368 TSval=3651913437 TSecr=3651912909"
"261","78.154222","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=87553 Ack=10194 Win=65408 Len=0 TSval=3651914044 TSecr=3651914044"
"262","78.724116","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=87553 Ack=10194 Win=65536 Len=1368 TSval=3651914614 TSecr=3651914044"
"265","79.324583","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=88921 Ack=10353 Win=65408 Len=0 TSval=3651915215 TSecr=3651915215"
"266","79.908661","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=88921 Ack=10353 Win=65536 Len=1368 TSval=3651915799 TSecr=3651915215"
"269","80.747650","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=90289 Ack=10512 Win=65408 Len=0 TSval=3651916638 TSecr=3651916638"
"270","81.324896","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=90289 Ack=10512 Win=65536 Len=1368 TSval=3651917215 TSecr=3651916638"
"273","81.953510","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=91657 Ack=10671 Win=65408 Len=0 TSval=3651917844 TSecr=3651917844"
"274","82.491590","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=91657 Ack=10671 Win=65536 Len=1368 TSval=3651918382 TSecr=3651917844"
"277","83.078762","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=93025 Ack=10830 Win=65408 Len=0 TSval=3651918969 TSecr=3651918969"
"278","83.588040","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=93025 Ack=10830 Win=65536 Len=1368 TSval=3651919478 TSecr=3651918969"
"281","84.194038","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=94393 Ack=10989 Win=65408 Len=0 TSval=3651920084 TSecr=3651920084"
"282","84.763539","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=94393 Ack=10989 Win=65536 Len=1368 TSval=3651920654 TSecr=3651920084"
"285","85.386163","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=95761 Ack=11148 Win=65408 Len=0 TSval=3651921276 TSecr=3651921276"
"286","85.941021","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=95761 Ack=11148 Win=65536 Len=1368 TSval=3651921831 TSecr=3651921276"
"289","86.511972","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=97129 Ack=11307 Win=65408 Len=0 TSval=3651922402 TSecr=3651922402"
"290","87.063053","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=97129 Ack=11307 Win=65536 Len=1368 TSval=3651922953 TSecr=3651922402"
"293","87.653192","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=98497 Ack=11466 Win=65408 Len=0 TSval=3651923544 TSecr=3651923543"
"294","88.182066","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=98497 Ack=11466 Win=65536 Len=1368 TSval=3651924072 TSecr=3651923543"
"297","88.756040","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=99865 Ack=11625 Win=65408 Len=0 TSval=3651924646 TSecr=3651924646"
"298","89.386747","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=99865 Ack=11625 Win=65536 Len=1368 TSval=3651925277 TSecr=3651924646"
"301","90.105721","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=101233 Ack=11784 Win=65408 Len=0 TSval=3651925996 TSecr=3651925996"
"302","90.625174","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=101233 Ack=11784 Win=65536 Len=1368 TSval=3651926516 TSecr=3651925996"
"305","91.241679","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=102601 Ack=11943 Win=65408 Len=0 TSval=3651927132 TSecr=3651927132"
"306","91.782791","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=102601 Ack=11943 Win=65536 Len=1368 TSval=3651927673 TSecr=3651927132"
"309","92.384016","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=103969 Ack=12102 Win=65408 Len=0 TSval=3651928274 TSecr=3651928274"
"310","93.102722","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=103969 Ack=12102 Win=65536 Len=1368 TSval=3651928993 TSecr=3651928274"
"313","93.844398","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=105337 Ack=12261 Win=65408 Len=0 TSval=3651929735 TSecr=3651929735"
"314","94.398763","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=105337 Ack=12261 Win=65536 Len=1368 TSval=3651930289 TSecr=3651929735"
"317","94.994691","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=106705 Ack=12420 Win=65408 Len=0 TSval=3651930885 TSecr=3651930885"
"318","95.557865","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=106705 Ack=12420 Win=65536 Len=1368 TSval=3651931448 TSecr=3651930885"
"321","96.163166","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=108073 Ack=12579 Win=65408 Len=0 TSval=3651932053 TSecr=3651932053"
"322","96.763024","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=108073 Ack=12579 Win=65536 Len=1368 TSval=3651932653 TSecr=3651932053"
"325","97.418942","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=109441 Ack=12738 Win=65408 Len=0 TSval=3651933309 TSecr=3651933309"
"326","98.049671","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=109441 Ack=12738 Win=65536 Len=1368 TSval=3651933940 TSecr=3651933309"
"329","98.622231","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=110809 Ack=12897 Win=65408 Len=0 TSval=3651934513 TSecr=3651934513"
"330","99.173084","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=110809 Ack=12897 Win=65536 Len=1368 TSval=3651935063 TSecr=3651934513"
"333","99.772703","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=112177 Ack=13056 Win=65408 Len=0 TSval=3651935663 TSecr=3651935663"
"334","100.314762","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=112177 Ack=13056 Win=65536 Len=1368 TSval=3651936205 TSecr=3651935663"
"337","100.891674","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=113545 Ack=13215 Win=65408 Len=0 TSval=3651936782 TSecr=3651936782"
"338","101.428036","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=113545 Ack=13215 Win=65536 Len=1368 TSval=3651937318 TSecr=3651936782"
"341","102.009059","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=114913 Ack=13374 Win=65408 Len=0 TSval=3651937899 TSecr=3651937899"
"342","102.518674","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=114913 Ack=13374 Win=65536 Len=1368 TSval=3651938409 TSecr=3651937899"
"345","103.097529","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=116281 Ack=13533 Win=65408 Len=0 TSval=3651938988 TSecr=3651938988"
"346","103.722780","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=116281 Ack=13533 Win=65536 Len=1368 TSval=3651939613 TSecr=3651938988"
"349","104.372108","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=117649 Ack=13692 Win=65408 Len=0 TSval=3651940262 TSecr=3651940262"
"350","104.908078","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=117649 Ack=13692 Win=65536 Len=1368 TSval=3651940798 TSecr=3651940262"
"353","105.538335","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=119017 Ack=13851 Win=65408 Len=0 TSval=3651941429 TSecr=3651941429"
"354","106.087622","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=119017 Ack=13851 Win=65536 Len=1368 TSval=3651941978 TSecr=3651941429"
"357","106.667536","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=120385 Ack=14010 Win=65408 Len=0 TSval=3651942558 TSecr=3651942558"
"358","107.206241","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=120385 Ack=14010 Win=65536 Len=1368 TSval=3651943097 TSecr=3651942558"
"361","107.792383","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=121753 Ack=14169 Win=65408 Len=0 TSval=3651943683 TSecr=3651943683"
"362","108.355127","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=121753 Ack=14169 Win=65536 Len=1368 TSval=3651944245 TSecr=3651943683"
"365","108.944861","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=123121 Ack=14328 Win=65408 Len=0 TSval=3651944835 TSecr=3651944835"
"366","109.577354","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=123121 Ack=14328 Win=65536 Len=1368 TSval=3651945468 TSecr=3651944835"
"369","110.173613","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=124489 Ack=14487 Win=65408 Len=0 TSval=3651946064 TSecr=3651946064"
"370","110.721979","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=124489 Ack=14487 Win=65536 Len=1368 TSval=3651946612 TSecr=3651946064"
"373","111.603605","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=125857 Ack=14646 Win=65408 Len=0 TSval=3651947494 TSecr=3651947494"
"374","112.307366","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=125857 Ack=14646 Win=65536 Len=1368 TSval=3651948198 TSecr=3651947494"
"377","112.989196","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=127225 Ack=14805 Win=65408 Len=0 TSval=3651948880 TSecr=3651948879"
"378","113.914906","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=127225 Ack=14805 Win=65536 Len=1368 TSval=3651949805 TSecr=3651948879"
"381","114.573601","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=128593 Ack=14964 Win=65408 Len=0 TSval=3651950464 TSecr=3651950464"
"382","115.345157","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=128593 Ack=14964 Win=65536 Len=1368 TSval=3651951235 TSecr=3651950464"
"385","115.995535","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=129961 Ack=15123 Win=65408 Len=0 TSval=3651951886 TSecr=3651951886"
"386","116.650418","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=129961 Ack=15123 Win=65536 Len=1368 TSval=3651952541 TSecr=3651951886"
"389","117.371094","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=131329 Ack=15282 Win=65408 Len=0 TSval=3651953261 TSecr=3651953261"
"390","118.217016","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=131329 Ack=15282 Win=65536 Len=1368 TSval=3651954107 TSecr=3651953261"
"393","118.811914","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=132697 Ack=15441 Win=65408 Len=0 TSval=3651954702 TSecr=3651954702"
"394","119.353213","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=132697 Ack=15441 Win=65536 Len=1368 TSval=3651955244 TSecr=3651954702"
"397","119.928689","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=134065 Ack=15600 Win=65408 Len=0 TSval=3651955819 TSecr=3651955819"
"398","120.462406","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=134065 Ack=15600 Win=65536 Len=1368 TSval=3651956353 TSecr=3651955819"
"401","121.056847","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=135433 Ack=15759 Win=65408 Len=0 TSval=3651956947 TSecr=3651956947"
"402","121.564473","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=135433 Ack=15759 Win=65536 Len=1368 TSval=3651957455 TSecr=3651956947"
"405","122.160149","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=136801 Ack=15918 Win=65408 Len=0 TSval=3651958050 TSecr=3651958050"
"406","123.001379","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=136801 Ack=15918 Win=65536 Len=1368 TSval=3651958892 TSecr=3651958050"
"409","123.483470","127.0.0.1","127.0.0.1","TCP","66","8080  >  54092 [ACK] Seq=138169 Ack=15919 Win=65536 Len=0 TSval=3651959374 TSecr=3651959332"
"410","124.097173","127.0.0.1","127.0.0.1","TCP","1434","8080  >  54092 [PSH, ACK] Seq=138169 Ack=15919 Win=65536 Len=1368 TSval=3651959988 TSecr=3651959332"
